sample_id,index,speaker,utt_id,target_word,mapped_correct,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,energy_fraction_0-0.5k,energy_fraction_0.5-2k,energy_fraction_2-4k,energy_fraction_4-8k
M02||179||harp,544,M02,179,harp,1,3.4450625,0.1155039071453992,0.0002000033855438,0.0001686790288057,56.71071167000622,3669.901241858005,6171.875,1.6701728475473407,6.826930777858015,0.0253141737074201,0.195688330614448,0.3842353130774952,0.387575029307587
M02||180||cart,545,M02,180,cart,1,2.705,0.1775919088719111,0.0002000033855438,0.0001734790312065,60.20352374341172,3975.9313519902503,6796.875,1.5804340463713944,6.294961694607175,0.0294157968933588,0.1802515576689008,0.3398020932197102,0.444661433590606
M02||182||dart,546,M02,182,dart,0,3.53,0.1570678994513715,0.0002000033855438,0.0001662268881358,59.50772322052117,3767.926724636778,6281.25,1.610229315785312,6.5466975861626455,0.0257399886898696,0.1851561490977472,0.3875252082766709,0.3958583805310293
M02||184||zero,547,M02,184,zero,1,2.885,0.2223392803092411,0.0002000033855438,0.0001568843077336,63.028733797293256,3756.087233616482,6593.75,1.4204111346609605,5.769544722961502,0.027411230052703,0.2171659983512247,0.335516679627512,0.4130144547893679
M02||189||blow,548,M02,189,blow,0,2.99,0.1926780745827997,0.0002000033855438,0.0001704450699292,61.06495707758164,3749.357313908709,6531.25,1.4988651231186672,5.861857238127256,0.027381207528228,0.2292766260372332,0.3231997728795566,0.413650327644364
M02||192||top,549,M02,192,top,1,3.02,0.1474054895925078,0.0002000033855438,0.0001703944697332,58.74116324469273,3844.6684743033848,6546.875,1.5952851913958204,6.662466022737107,0.025402481300093,0.1946951347162036,0.3474438079572264,0.4256344839605985
M02||197||thought,550,M02,197,thought,1,2.06,0.3268732305402992,0.0002000033855438,0.000177758081828,65.29100000134835,4026.165522106483,7328.125,1.0507004611735602,3.847834861214866,0.0318475449309016,0.207568696707536,0.3194255745668229,0.4362838633037234
M02||198||shy,551,M02,198,shy,0,2.545,0.1608462862907728,0.0002000033855438,0.0001737700475939,59.32872236106503,3997.964403673604,6796.875,1.554245735887397,6.296209851063142,0.0288757076010449,0.1939518313942752,0.3120839753533794,0.4589810433424304
M02||199||six,552,M02,199,six,1,2.405,0.1088724543129735,0.0002000033855438,0.00016946086335,56.15697197330026,4052.613232546223,6921.875,1.5292310660533088,6.461794969909748,0.0240563282447224,0.1799858560210333,0.3246936354239021,0.4653140535635054
M02||203||fat,553,M02,203,fat,0,3.575,0.0984335352978422,0.0002000033855438,0.0001679906978167,55.35715698421744,3972.4618014746047,6843.75,1.7160966848099295,7.577381692931599,0.023764689730686,0.2040783717054437,0.3144867402940329,0.4510050465297492
M02||206||league,554,M02,206,league,1,2.14,0.2839296208226305,0.0002000033855438,0.0001761757719211,64.14529038805111,3915.587115478157,6718.75,1.2670469851456096,4.938393386431074,0.0251847475054647,0.2004398725304829,0.3209427152050754,0.4484306609204946
M02||211||bitten,555,M02,211,bitten,1,2.7,0.1874259941419575,0.0002000033855438,0.0001704167025537,60.82635330701586,3544.813236918397,6234.375,1.670652533454873,6.9567386823200525,0.0221844702121841,0.2136663022173603,0.4154778879837867,0.3417381668318859
M02||215||witch,556,M02,215,witch,0,3.355,0.1698270851106535,0.0002000033855438,0.0001719520836619,59.891990253208405,3311.9418329164014,6171.875,1.3442317911118,5.128961343234412,0.0457514456018611,0.2901569128651931,0.3354563647215562,0.3220825834848428
M02||216||leak,557,M02,216,leak,0,2.94,0.1425899979618181,0.0002000033855438,0.0001685771320381,58.5458080357925,4212.865965393411,6906.25,1.4972300856328524,6.502222421676521,0.0221574203450499,0.1880052267190314,0.2757608700255905,0.508810292462025
M02||217||part,558,M02,217,part,0,3.05,0.154316716806638,0.0002000033855438,0.0001635724941864,59.49405397764518,3711.730645449558,6453.125,1.5003489948498114,6.151450468362,0.0238306449866849,0.2124081216393059,0.3670007110476064,0.3902065545824683
M02||218||mush,559,M02,218,mush,0,2.805,0.1528473497738502,0.0002000033855438,0.0001691846867283,59.11793722657347,3645.927057295965,6406.25,1.5264666371125983,6.144253230840114,0.0275426525092954,0.231645732971785,0.3511084172458441,0.3833445943057653
M02||219||leak,560,M02,219,leak,1,2.525,0.1643194158969027,0.0002000033855438,0.0001743858931856,59.48355064764624,3910.8050373548185,6859.375,1.5070948839463831,6.389366070519387,0.0236744772475352,0.2033468487820968,0.3207639065013273,0.446443536498997
M02||223||thorn,561,M02,223,thorn,0,3.72,0.1781246795704673,0.0002000033855438,0.0001684087920818,60.487186704471526,3630.905906341016,6265.625,1.6179231776420837,6.629327923896405,0.0233221944235296,0.2037083575541483,0.402972544449929,0.3627736246268712
M02||226||golf,562,M02,226,golf,0,2.85,0.1832711882351951,0.0002000033855438,0.000171527382114,60.57521472451825,3821.268330181389,6625.0,1.5712704667691952,6.228435361401345,0.0311031064604422,0.2162483983118488,0.3156593963856647,0.43054985599764
M02||227||hitting,563,M02,227,hitting,1,3.32,0.1558270064775339,0.0002000033855438,0.0001680649716938,59.34331042052758,3572.0342524010966,6046.875,1.6589024703083537,7.062478485913928,0.0245769406125301,0.2357634285538724,0.3680585169089864,0.3646759834640405
